"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:4M0h7E95t1AdtfZN1zoYUe","Carbonated","spotify:artist:3NUtpWpGDoffm3RCGhSHtl","Mount Kimbie","spotify:album:7irBw84PJic0XEPd2wQCaR","Carbonated","spotify:artist:3NUtpWpGDoffm3RCGhSHtl","Mount Kimbie","2011-07-18","https://i.scdn.co/image/ab67616d0000b273578bde98e1893affb1eb90c4","1","1","258504","https://p.scdn.co/mp3-preview/7498471fbd5b0ddb3648913a88e20a4264de29b5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","15","GBHQT1000040","spotify:user:12149955269","2015-07-09T00:52:55Z"
"spotify:track:0dDoYANdWiqGT685IYHGtV","Flux","spotify:artist:3NUtpWpGDoffm3RCGhSHtl","Mount Kimbie","spotify:album:7irBw84PJic0XEPd2wQCaR","Carbonated","spotify:artist:3NUtpWpGDoffm3RCGhSHtl","Mount Kimbie","2011-07-18","https://i.scdn.co/image/ab67616d0000b273578bde98e1893affb1eb90c4","1","2","235735","https://p.scdn.co/mp3-preview/40d178ea2faa0874d1e0a6696d2b921df02b3196?cid=9950ac751e34487dbbe027c4fd7f8e99","false","18","GBHQT1100029","spotify:user:12149955269","2015-07-09T00:56:21Z"
"spotify:track:4nzqjpIRBaKpYcMcK6iQMq","At Least - Instra:mental Remix","spotify:artist:3NUtpWpGDoffm3RCGhSHtl, spotify:artist:1oSvdOGMjWupD3SJWcJOgg","Mount Kimbie, Instra:mental","spotify:album:6F4ZoIVC5xz9ZY9s6vbs3Q","Mount Kimbie Remixes, Pt.1","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2010-05-17","https://i.scdn.co/image/ab67616d0000b27354007efb5a88974645b763d2","1","3","379285","https://p.scdn.co/mp3-preview/df8dbf2f76d2d06a2e44bc34b2a8c6a879aa7833?cid=9950ac751e34487dbbe027c4fd7f8e99","false","21","GBHQT1000007","spotify:user:12149955269","2015-07-09T02:03:57Z"
"spotify:track:32lJeFmxjDgIm7YEnlPE44","Piano Trio in G Major, L. 3: I. Andantino con moto allegro","spotify:artist:1Uff91EOsvd99rtAupatMP, spotify:artist:7cfuRch11H0M3mR1ns8D5g, spotify:artist:15jGzhfOH8ASSWc7ihPFTq, spotify:artist:2jTN68FcJuvjvuvihkzrQa, spotify:artist:07iiBxIVVy1g2yuTJzrFJ2","Claude Debussy, Trio Stradivari, Federico Guglielmo, Luigi Puxeddu, Jolanda Violante","spotify:album:4m7bMcE7Q2YZ9SyELUgI6q","Debussy: Violin Sonata, Cello Sonata, Piano Trio","spotify:artist:1Uff91EOsvd99rtAupatMP, spotify:artist:7cfuRch11H0M3mR1ns8D5g","Claude Debussy, Trio Stradivari","2012","https://i.scdn.co/image/ab67616d0000b273a8a70fa5bf32bdab241c69c7","1","1","544826","https://p.scdn.co/mp3-preview/f2193dbf6797a2d924c509adb1dae2cfcb9c955c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","7","NLY331400094","spotify:user:12149955269","2015-07-10T14:20:50Z"
"spotify:track:0zJsrLuVF6BSs3JpWxOcjs","Piano Trio in G Major, L. 3: II. Scherzo-Intermezzo. Moderato con allegro","spotify:artist:1Uff91EOsvd99rtAupatMP, spotify:artist:7cfuRch11H0M3mR1ns8D5g, spotify:artist:15jGzhfOH8ASSWc7ihPFTq, spotify:artist:2jTN68FcJuvjvuvihkzrQa, spotify:artist:07iiBxIVVy1g2yuTJzrFJ2","Claude Debussy, Trio Stradivari, Federico Guglielmo, Luigi Puxeddu, Jolanda Violante","spotify:album:4m7bMcE7Q2YZ9SyELUgI6q","Debussy: Violin Sonata, Cello Sonata, Piano Trio","spotify:artist:1Uff91EOsvd99rtAupatMP, spotify:artist:7cfuRch11H0M3mR1ns8D5g","Claude Debussy, Trio Stradivari","2012","https://i.scdn.co/image/ab67616d0000b273a8a70fa5bf32bdab241c69c7","1","2","210293","https://p.scdn.co/mp3-preview/a9bac3404ad4ecb58cf70e0746199d1ff394d988?cid=9950ac751e34487dbbe027c4fd7f8e99","false","5","NLY331400095","spotify:user:12149955269","2015-07-10T15:37:35Z"
"spotify:track:2A10qByrUg8QguQsY65jQR","Piano Trio in G Major, L. 3: IV. Finale. Appassionato","spotify:artist:1Uff91EOsvd99rtAupatMP, spotify:artist:7cfuRch11H0M3mR1ns8D5g, spotify:artist:15jGzhfOH8ASSWc7ihPFTq, spotify:artist:2jTN68FcJuvjvuvihkzrQa, spotify:artist:07iiBxIVVy1g2yuTJzrFJ2","Claude Debussy, Trio Stradivari, Federico Guglielmo, Luigi Puxeddu, Jolanda Violante","spotify:album:4m7bMcE7Q2YZ9SyELUgI6q","Debussy: Violin Sonata, Cello Sonata, Piano Trio","spotify:artist:1Uff91EOsvd99rtAupatMP, spotify:artist:7cfuRch11H0M3mR1ns8D5g","Claude Debussy, Trio Stradivari","2012","https://i.scdn.co/image/ab67616d0000b273a8a70fa5bf32bdab241c69c7","1","4","327146","https://p.scdn.co/mp3-preview/a08addda9a845e118d9704dc2fe8e2cd66af42f4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","4","NLY331400097","spotify:user:12149955269","2015-07-10T15:46:24Z"
"spotify:track:1s7y8MOlxQ4Zm2WzpGnid9","Piano Trio in G Major, L. 3: III. Andante espressivo","spotify:artist:1Uff91EOsvd99rtAupatMP, spotify:artist:7cfuRch11H0M3mR1ns8D5g, spotify:artist:15jGzhfOH8ASSWc7ihPFTq, spotify:artist:2jTN68FcJuvjvuvihkzrQa, spotify:artist:07iiBxIVVy1g2yuTJzrFJ2","Claude Debussy, Trio Stradivari, Federico Guglielmo, Luigi Puxeddu, Jolanda Violante","spotify:album:4m7bMcE7Q2YZ9SyELUgI6q","Debussy: Violin Sonata, Cello Sonata, Piano Trio","spotify:artist:1Uff91EOsvd99rtAupatMP, spotify:artist:7cfuRch11H0M3mR1ns8D5g","Claude Debussy, Trio Stradivari","2012","https://i.scdn.co/image/ab67616d0000b273a8a70fa5bf32bdab241c69c7","1","3","235333","https://p.scdn.co/mp3-preview/2da7efeee05be25d88ddfa7764319ffc338accc6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","6","NLY331400096","spotify:user:12149955269","2015-07-10T15:46:42Z"
"spotify:track:568pw6avJYEwpScyCaaXBX","Deux Arabesques, L. 66: Première Arabesque","spotify:artist:1Uff91EOsvd99rtAupatMP, spotify:artist:15jGzhfOH8ASSWc7ihPFTq, spotify:artist:07iiBxIVVy1g2yuTJzrFJ2","Claude Debussy, Federico Guglielmo, Jolanda Violante","spotify:album:4m7bMcE7Q2YZ9SyELUgI6q","Debussy: Violin Sonata, Cello Sonata, Piano Trio","spotify:artist:1Uff91EOsvd99rtAupatMP, spotify:artist:7cfuRch11H0M3mR1ns8D5g","Claude Debussy, Trio Stradivari","2012","https://i.scdn.co/image/ab67616d0000b273a8a70fa5bf32bdab241c69c7","1","15","297466","https://p.scdn.co/mp3-preview/9d4abdf0319a4fb39e9f08193594b36c0a62418a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","10","NLY331400108","spotify:user:12149955269","2015-07-10T16:43:43Z"
"spotify:track:3Dho1A9YHyDGmMPN2YDfXw","Scheherazade - Symphonic Suite Op. 35: I. The Sea and Sinbad's Ship","spotify:artist:2kXJ68O899XvWOBdpzlXgs, spotify:artist:04kScQiBaLpLuCR1rh20Dd, spotify:artist:2RUifEObHtCS1mnhPOyRFG, spotify:artist:3PfJE6ebCbCHeuqO4BfNeA","Nikolai Rimsky-Korsakov, Sir Thomas Beecham, Takuo Yuasa, London Philharmonic Orchestra","spotify:album:3D52JcZBEPkybnDHXITUZi","Rimsky-Korsakov: Scheherazade . Borodin: Polovtsian Dances","spotify:artist:4sO8znRCtIr9EOFGGmiFP4, spotify:artist:04kScQiBaLpLuCR1rh20Dd","Takuo Yuasa/Sir Thomas Beecham, Sir Thomas Beecham","2005","https://i.scdn.co/image/ab67616d0000b2736767a0248da6ccc31eef0d6f","1","1","647626","https://p.scdn.co/mp3-preview/7730e363302ee97e0b907ab0e37e993e6b83ecae?cid=9950ac751e34487dbbe027c4fd7f8e99","false","18","GBAYD9000417","spotify:user:12149955269","2015-07-13T12:47:45Z"
"spotify:track:4CHowlSbgpemvpGSMBGP53","Scheherazade - Symphonic Suite Op. 35: III. The Young Prince and the Young Princess","spotify:artist:2kXJ68O899XvWOBdpzlXgs, spotify:artist:04kScQiBaLpLuCR1rh20Dd, spotify:artist:2RUifEObHtCS1mnhPOyRFG, spotify:artist:3PfJE6ebCbCHeuqO4BfNeA","Nikolai Rimsky-Korsakov, Sir Thomas Beecham, Takuo Yuasa, London Philharmonic Orchestra","spotify:album:3D52JcZBEPkybnDHXITUZi","Rimsky-Korsakov: Scheherazade . Borodin: Polovtsian Dances","spotify:artist:4sO8znRCtIr9EOFGGmiFP4, spotify:artist:04kScQiBaLpLuCR1rh20Dd","Takuo Yuasa/Sir Thomas Beecham, Sir Thomas Beecham","2005","https://i.scdn.co/image/ab67616d0000b2736767a0248da6ccc31eef0d6f","1","3","599933","https://p.scdn.co/mp3-preview/d24739d45b7edd79667215d456c4975284ba3ea3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","11","GBAYD9000419","spotify:user:12149955269","2015-07-13T13:12:55Z"
"spotify:track:0jLVAklgGXRF7RxY1ogh6E","Khachaturian: Spartacus (Highlights from the Ballet): Adagio of Spartacus and Phrygia","spotify:artist:5WIoytpqi3VWoFSHnl49in, spotify:artist:5yxyJsFanEAuwSM5kOuZKc","Aram Khachaturian, London Symphony Orchestra","spotify:album:3D52JcZBEPkybnDHXITUZi","Rimsky-Korsakov: Scheherazade . Borodin: Polovtsian Dances","spotify:artist:4sO8znRCtIr9EOFGGmiFP4, spotify:artist:04kScQiBaLpLuCR1rh20Dd","Takuo Yuasa/Sir Thomas Beecham, Sir Thomas Beecham","2005","https://i.scdn.co/image/ab67616d0000b2736767a0248da6ccc31eef0d6f","1","14","594786","https://p.scdn.co/mp3-preview/f630d83e862704b78cee9873e61ce42cf2f7af5d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","35","GBAYC8804810","spotify:user:12149955269","2015-07-13T13:49:08Z"
"spotify:track:5gPunoRhOxiHYhrGg7bsLd","The Swan Lake ACT I (scene 1) Pas de trois. Coda","spotify:artist:4Z1o4tq9yG3WnWFHw28bYk, spotify:artist:2rRUfv2w535SEUV1YO5SP6","Victor Fedotov, Mariinsky Orchestra","spotify:album:2xmj23vvS31oJepvkXuyxY","Peter Tchaikovsky. The Swan Lake","spotify:artist:4Z1o4tq9yG3WnWFHw28bYk","Victor Fedotov","2006-02-07","https://i.scdn.co/image/ab67616d0000b273b46f7055f08ef053e5bbfe15","1","7","113174","https://p.scdn.co/mp3-preview/754ab1027f5ebd99e106510a7628ece53e3e4cfa?cid=9950ac751e34487dbbe027c4fd7f8e99","false","9","USA370544384","spotify:user:12149955269","2015-07-13T14:10:36Z"
"spotify:track:3JLrPcbHRxfGSHS359MJYT","The Swan Lake ACT I (scene 1) Finale","spotify:artist:4Z1o4tq9yG3WnWFHw28bYk, spotify:artist:2rRUfv2w535SEUV1YO5SP6","Victor Fedotov, Mariinsky Orchestra","spotify:album:2xmj23vvS31oJepvkXuyxY","Peter Tchaikovsky. The Swan Lake","spotify:artist:4Z1o4tq9yG3WnWFHw28bYk","Victor Fedotov","2006-02-07","https://i.scdn.co/image/ab67616d0000b273b46f7055f08ef053e5bbfe15","1","13","168646","https://p.scdn.co/mp3-preview/565a2be3e829c6038a04d1bff8c2522de908ea02?cid=9950ac751e34487dbbe027c4fd7f8e99","false","11","USA370544390","spotify:user:12149955269","2015-07-13T14:34:39Z"
"spotify:track:6swi4qOYSIzikETAdvtLAH","Jazz Suite No. 2 : 6. Waltz II","spotify:artist:6s1pCNXcbdtQJlsnM1hRIA, spotify:artist:4Kjr1MPMUfuH3QKXtAljNy, spotify:artist:2HqNckz4bPVT37fWkhugTZ","Dmitri Shostakovich, Riccardo Chailly, Royal Concertgebouw Orchestra","spotify:album:3ORqZp7IB3hZIITdOQUcy1","Shostakovich Highlights","spotify:artist:6s1pCNXcbdtQJlsnM1hRIA, spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Dmitri Shostakovich, Various Artists","2015-07-02","https://i.scdn.co/image/ab67616d0000b273eb0df58f15a22cab2cdc95d8","1","1","220600","","false","0","GBF079110776","spotify:user:12149955269","2015-07-13T17:50:51Z"
"spotify:track:57waeauCsihehcGXgZQMar","Streetlights on Mars","spotify:artist:0RIQOtjWn0zYKSKfDYgukS","Jackson Penn","spotify:album:7euYSQqUuesHP5XYa1WjSc","Streetlights on Mars","spotify:artist:0RIQOtjWn0zYKSKfDYgukS","Jackson Penn","2017-10-27","https://i.scdn.co/image/ab67616d0000b273a70580c100f57399994003f4","1","1","228266","https://p.scdn.co/mp3-preview/c42587cb63118f3df3174d6e4e87c4f50647b012?cid=9950ac751e34487dbbe027c4fd7f8e99","false","28","QM24S1703941","spotify:user:12149955269","2020-06-10T11:19:56Z"
